,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
155,09-06,31,10,4,3,0,2,1,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
156,09-07,35,6,2,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
157,09-08,20,6,2,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
158,09-09,40,14,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,09-10,48,9,3,2,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
160,09-11,21,7,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
161,09-12,17,7,4,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0
162,09-13,21,9,11,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
163,09-14,26,9,4,0,0,1,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,09-15,43,10,7,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,09-16,17,12,6,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
166,09-17,26,9,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,09-18,7,12,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,09-19,6,13,7,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
169,09-20,22,6,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
