,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
40,05-10,2844,1885,921,486,760,196,466,309,103,339,0,126,0,0,327,0,68,97,134,302,115,0,0,0,0,0
41,05-11,2902,1912,955,491,769,199,470,313,105,339,0,126,0,0,329,0,68,98,137,306,118,0,0,0,0,0
42,05-12,2954,1937,1003,494,784,199,475,314,106,340,0,127,0,0,333,0,69,98,140,310,119,0,0,0,0,0
43,05-13,2999,1958,1021,500,790,200,479,314,107,341,0,127,0,0,335,0,69,98,141,311,121,0,0,0,0,0
44,05-14,3054,1977,1026,510,798,202,483,315,107,343,0,127,0,0,338,0,69,98,141,312,122,0,0,0,0,0
45,05-15,3099,2002,1048,515,809,203,492,316,107,343,0,128,0,0,340,0,69,98,143,314,124,0,0,0,0,0
46,05-16,3142,2015,1064,520,813,203,496,321,107,345,0,128,0,0,343,0,71,105,146,316,126,0,0,0,0,0
47,05-17,3175,2042,1076,557,818,212,498,322,107,345,0,128,0,0,346,0,71,120,146,317,127,0,0,0,0,0
48,05-18,3238,2061,1078,557,822,212,504,322,111,345,0,130,0,0,346,0,71,120,149,317,128,0,0,0,0,0
49,05-19,3269,2070,1092,562,827,214,506,323,112,348,0,130,0,0,347,0,71,121,155,322,129,0,0,0,0,0
50,05-20,3300,2080,1107,562,829,216,508,328,112,350,0,130,0,0,347,0,71,125,158,330,129,0,0,0,0,0
51,05-21,3338,2094,1118,573,834,217,510,328,113,352,0,131,0,0,348,0,72,125,163,343,129,0,0,0,0,0
52,05-22,3364,2113,1127,583,841,218,511,325,115,354,0,132,0,0,349,0,72,126,165,351,129,0,0,0,0,0
53,05-23,3390,2127,1152,583,850,219,512,326,118,354,0,133,0,0,350,0,74,128,167,351,129,0,0,0,0,0
54,05-24,3429,2147,1192,587,855,222,514,326,119,354,0,134,0,0,352,0,74,128,175,351,129,0,0,0,0,0
55,05-25,3451,2155,1215,590,862,223,518,333,119,356,0,134,0,0,352,0,74,129,177,351,129,0,0,0,0,0
56,05-26,3465,2173,1254,590,865,224,520,336,119,356,0,135,0,0,353,0,75,134,178,361,129,0,0,0,0,0
57,05-27,3490,2176,1270,592,869,225,521,353,126,357,0,135,0,0,354,0,75,140,179,361,129,0,0,0,0,0
58,05-28,3519,2192,1277,594,870,226,525,356,126,357,0,135,0,0,355,0,75,140,180,365,129,0,0,0,0,0
59,05-29,3547,2207,1311,598,873,226,526,361,126,358,0,135,0,0,356,0,76,140,180,365,129,0,0,0,0,0
60,05-30,3570,2216,1324,601,873,228,527,363,126,359,0,135,0,0,357,0,79,140,181,365,129,0,0,0,0,0
61,05-31,3607,2230,1357,604,874,229,531,364,127,359,0,135,0,0,358,0,79,140,182,365,129,0,0,0,0,0
62,06-01,3649,2244,1382,609,877,230,535,365,127,361,0,135,0,0,358,0,79,140,185,365,130,0,0,0,0,0
63,06-02,3702,2256,1420,611,880,233,538,366,127,362,0,136,0,0,359,0,80,141,187,365,130,0,0,0,0,0
64,06-03,3739,2272,1453,612,880,233,539,367,127,363,0,136,0,0,360,0,80,147,188,365,130,0,0,0,0,0
65,06-04,3762,2293,1473,615,880,233,539,368,127,369,0,136,0,0,362,0,80,147,189,365,130,0,0,0,0,0
66,06-05,3795,2306,1479,616,882,233,540,369,129,369,0,136,0,0,363,0,80,147,189,365,130,0,0,0,0,0
67,06-06,3817,2308,1487,617,883,233,541,369,131,369,0,136,0,0,364,0,81,147,189,365,131,0,0,0,0,0
68,06-07,3852,2319,1496,618,883,237,544,370,131,377,0,136,0,0,364,0,81,148,189,365,133,0,0,0,0,0
69,06-08,3858,2322,1518,621,884,238,546,371,135,377,0,136,0,0,364,0,84,148,190,365,133,0,0,0,0,0
70,06-09,3892,2333,1545,621,884,239,548,373,135,379,0,138,0,0,364,0,85,148,192,365,133,0,0,0,0,0
71,06-10,3916,2341,1548,622,884,239,550,374,135,381,0,139,0,0,364,0,86,148,193,365,134,0,0,0,0,0
72,06-11,3946,2352,1592,625,886,239,551,375,135,381,0,139,0,0,364,0,86,148,193,365,134,0,0,0,0,0
73,06-12,3980,2356,1595,625,886,241,551,375,135,381,0,139,0,0,366,0,86,148,194,365,135,0,0,0,0,0
74,06-13,4014,2363,1608,627,887,241,555,375,135,381,0,139,0,0,367,0,86,148,194,365,135,0,0,0,0,0
