,ID,Date,District,Suspected_Local,Suspected_Foreign,Suspected_Total,TotalInfected
7,0413_Polonnaruwa,04-13,Polonnaruwa,19,0,19,0
8,0413_Jaffna,04-13,Jaffna,0,0,0,7
9,0413_Ratnapura,04-13,Ratnapura,8,0,8,5
10,0413_Kegalle,04-13,Kegalle,0,0,0,2
11,0413_Moneragala,04-13,Moneragala,1,0,1,0
12,0413_Kalmunai,04-13,Kalmunai,0,0,0,2
13,0413_Matale,04-13,Matale,0,0,0,0
14,0413_Galle,04-13,Galle,2,0,2,1
15,0413_Ampara,04-13,Ampara,0,0,0,0
16,0413_Badulla,04-13,Badulla,1,0,1,1
17,0413_Matara,04-13,Matara,2,0,2,2
18,0413_Batticoloa,04-13,Batticoloa,0,0,0,1
19,0413_Hambantota,04-13,Hambantota,0,0,0,0
20,0413_Vavunia,04-13,Vavunia,3,0,3,0
21,0413_Trincomalee,04-13,Trincomalee,0,0,0,0
22,0413_Nuwaraeliya,04-13,Nuwaraeliya,0,0,0,0
23,0413_Kilinochchi,04-13,Kilinochchi,0,0,0,0
24,0413_Mannar,04-13,Mannar,0,0,0,0
25,0413_Mullativu,04-13,Mullativu,0,0,0,0
0,0414_Colombo,04-14,Colombo,30,0,30,45
1,0414_Gampaha,04-14,Gampaha,36,0,36,25
2,0414_Puttalam,04-14,Puttalam,5,0,5,34
3,0414_Kalutara,04-14,Kalutara,10,0,10,44
4,0414_Anuradhapura,04-14,Anuradhapura,2,0,2,0
5,0414_Kandy,04-14,Kandy,2,0,2,7
6,0414_Kurunegala,04-14,Kurunegala,12,0,12,2
7,0414_Polonnaruwa,04-14,Polonnaruwa,19,0,19,0
8,0414_Jaffna,04-14,Jaffna,0,0,0,7
9,0414_Ratnapura,04-14,Ratnapura,3,0,3,5
10,0414_Kegalle,04-14,Kegalle,0,0,0,2
11,0414_Moneragala,04-14,Moneragala,2,0,2,0
12,0414_Kalmunai,04-14,Kalmunai,0,0,0,2
13,0414_Matale,04-14,Matale,0,0,0,0
14,0414_Galle,04-14,Galle,0,0,0,1
15,0414_Ampara,04-14,Ampara,0,0,0,0
16,0414_Badulla,04-14,Badulla,0,0,0,1
17,0414_Matara,04-14,Matara,0,0,0,2
18,0414_Batticoloa,04-14,Batticoloa,0,0,0,1
19,0414_Hambantota,04-14,Hambantota,2,0,2,0
20,0414_Vavunia,04-14,Vavunia,3,0,3,0
21,0414_Trincomalee,04-14,Trincomalee,0,0,0,0
22,0414_Nuwaraeliya,04-14,Nuwaraeliya,0,0,0,0
23,0414_Kilinochchi,04-14,Kilinochchi,0,0,0,0
24,0414_Mannar,04-14,Mannar,0,0,0,0
25,0414_Mullativu,04-14,Mullativu,0,0,0,0
0,0415_Colombo,04-15,Colombo,49,0,49,47
1,0415_Gampaha,04-15,Gampaha,23,0,23,26
2,0415_Puttalam,04-15,Puttalam,1,0,1,35
3,0415_Kalutara,04-15,Kalutara,2,0,2,45
4,0415_Anuradhapura,04-15,Anuradhapura,4,0,4,0
5,0415_Kandy,04-15,Kandy,1,0,1,7
6,0415_Kurunegala,04-15,Kurunegala,13,0,13,2
7,0415_Polonnaruwa,04-15,Polonnaruwa,20,0,20,0
8,0415_Jaffna,04-15,Jaffna,0,0,0,13
9,0415_Ratnapura,04-15,Ratnapura,7,0,7,5
10,0415_Kegalle,04-15,Kegalle,0,0,0,2
11,0415_Moneragala,04-15,Moneragala,1,0,1,0
12,0415_Kalmunai,04-15,Kalmunai,0,0,0,2
13,0415_Matale,04-15,Matale,0,0,0,0
14,0415_Galle,04-15,Galle,1,0,1,1
15,0415_Ampara,04-15,Ampara,0,0,0,0
16,0415_Badulla,04-15,Badulla,0,0,0,1
17,0415_Matara,04-15,Matara,2,0,2,2
18,0415_Batticoloa,04-15,Batticoloa,0,0,0,1
19,0415_Hambantota,04-15,Hambantota,0,0,0,0
20,0415_Vavunia,04-15,Vavunia,1,0,1,0
21,0415_Trincomalee,04-15,Trincomalee,0,0,0,0
22,0415_Nuwaraeliya,04-15,Nuwaraeliya,0,0,0,0
23,0415_Kilinochchi,04-15,Kilinochchi,0,0,0,0
24,0415_Mannar,04-15,Mannar,0,0,0,0
25,0415_Mullativu,04-15,Mullativu,0,0,0,0
0,0416_Colombo,04-16,Colombo,48,1,49,49
1,0416_Gampaha,04-16,Gampaha,26,0,26,28
2,0416_Puttalam,04-16,Puttalam,1,0,1,35
3,0416_Kalutara,04-16,Kalutara,5,0,5,45
4,0416_Anuradhapura,04-16,Anuradhapura,6,0,6,0
5,0416_Kandy,04-16,Kandy,4,0,4,7
6,0416_Kurunegala,04-16,Kurunegala,11,0,11,2
7,0416_Polonnaruwa,04-16,Polonnaruwa,30,0,30,0
8,0416_Jaffna,04-16,Jaffna,0,0,0,14
9,0416_Ratnapura,04-16,Ratnapura,1,0,1,5
10,0416_Kegalle,04-16,Kegalle,0,0,0,2
11,0416_Moneragala,04-16,Moneragala,0,0,0,0
12,0416_Kalmunai,04-16,Kalmunai,0,0,0,2
13,0416_Matale,04-16,Matale,0,0,0,0
14,0416_Galle,04-16,Galle,1,0,1,1
15,0416_Ampara,04-16,Ampara,0,0,0,0
16,0416_Badulla,04-16,Badulla,1,0,1,1
17,0416_Matara,04-16,Matara,0,0,0,2
18,0416_Batticoloa,04-16,Batticoloa,0,0,0,1
19,0416_Hambantota,04-16,Hambantota,0,0,0,0
20,0416_Vavunia,04-16,Vavunia,2,0,2,1
21,0416_Trincomalee,04-16,Trincomalee,0,0,0,0
22,0416_Nuwaraeliya,04-16,Nuwaraeliya,0,0,0,0
23,0416_Kilinochchi,04-16,Kilinochchi,0,0,0,0
24,0416_Mannar,04-16,Mannar,0,0,0,0
25,0416_Mullativu,04-16,Mullativu,0,0,0,0
0,0417_Colombo,04-17,Colombo,33,0,33,49
1,0417_Gampaha,04-17,Gampaha,33,0,33,28
2,0417_Puttalam,04-17,Puttalam,5,0,5,35
3,0417_Kalutara,04-17,Kalutara,9,0,9,45
4,0417_Anuradhapura,04-17,Anuradhapura,6,0,6,0
5,0417_Kandy,04-17,Kandy,2,0,2,7
6,0417_Kurunegala,04-17,Kurunegala,14,0,14,2
7,0417_Polonnaruwa,04-17,Polonnaruwa,27,0,27,0
8,0417_Jaffna,04-17,Jaffna,0,0,0,16
9,0417_Ratnapura,04-17,Ratnapura,0,0,0,5
10,0417_Kegalle,04-17,Kegalle,0,0,0,2
11,0417_Moneragala,04-17,Moneragala,1,0,1,0
12,0417_Kalmunai,04-17,Kalmunai,0,0,0,2
13,0417_Matale,04-17,Matale,0,0,0,0
14,0417_Galle,04-17,Galle,1,0,1,1
15,0417_Ampara,04-17,Ampara,0,0,0,0
16,0417_Badulla,04-17,Badulla,1,0,1,1
17,0417_Matara,04-17,Matara,0,0,0,2
18,0417_Batticoloa,04-17,Batticoloa,0,0,0,1
19,0417_Hambantota,04-17,Hambantota,0,0,0,0
20,0417_Vavunia,04-17,Vavunia,0,0,0,1
21,0417_Trincomalee,04-17,Trincomalee,0,0,0,0
22,0417_Nuwaraeliya,04-17,Nuwaraeliya,0,0,0,0
23,0417_Kilinochchi,04-17,Kilinochchi,0,0,0,0
24,0417_Mannar,04-17,Mannar,0,0,0,0
25,0417_Mullativu,04-17,Mullativu,0,0,0,0
0,0418_Colombo,04-18,Colombo,38,0,38,55
